Application:, Trigno Discover (1.7.0)
Date/Time:, 11/4/2024 11:12:31 AM
Collection Length (seconds):, 31.8195
Avanti Sensor 0 (64624), , Avanti Sensor 2 (64680)
sensor mode: 40, , sensor mode: 66
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 2148.1481 Hz, , 1777.7778 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
0, -0.0125887, 0, -0.024506, 0, 0.4712524, 0, -0.2614136, 0, -0.6295166, 0, 0.5597534
0.0004655, -0.0115816, 0.0005625, -0.03122, 0.0135, 0.4710693, 0.0135, -0.2612915, 0.0135, -0.6296387, 0.0135, 0.5598145
0.000931, -0.0105745, 0.001125, -0.0365911, 0.027, 0.4707642, 0.027, -0.2611694, 0.027, -0.6298828, 0.027, 0.5598145
0.0013966, -0.012253, 0.0016875, -0.0412909, 0.0405, 0.4706421, 0.0405, -0.2612305, 0.0405, -0.6299438, 0.0405, 0.5598145
0.0018621, -0.0149386, 0.00225, -0.0365911, 0.054, 0.4706421, 0.054, -0.2612305, 0.054, -0.6300049, 0.054, 0.5597534
0.0023276, -0.0149386, 0.0028125, -0.0214847, 0.0675, 0.4706421, 0.0675, -0.2612915, 0.0675, -0.6300659, 0.0675, 0.5596924
0.0027931, -0.012253, 0.003375, -0.0057069, 0.081, 0.4706421, 0.081, -0.2613525, 0.081, -0.6300659, 0.081, 0.5596313
0.0032586, -0.0119173, 0.0039375, 0.0057069, 0.0945, 0.47052, 0.0945, -0.2614136, 0.0945, -0.630127, 0.0945, 0.5596924
0.0037241, -0.0149386, 0.0045, 0.0093996, 0.108, 0.47052, 0.108, -0.2614136, 0.108, -0.6300659, 0.108, 0.5596924
0.0041897, -0.0159457, 0.0050625, 0.0020142, 0.1215, 0.47052, 0.1215, -0.2614746, 0.1215, -0.6300659, 0.1215, 0.5596924
0.0046552, -0.0149386, 0.005625, -0.0171206, 0.135, 0.470459, 0.135, -0.2615967, 0.135, -0.630127, 0.135, 0.5596313
0.0051207, -0.0142672, 0.0061875, -0.0433051, 0.1485, 0.470459, 0.1485, -0.2616577, 0.1485, -0.6300659, 0.1485, 0.5596313
0.0055862, -0.0157778, 0.00675, -0.0560616, 0.162, 0.470459, 0.162, -0.2617798, 0.162, -0.6300049, 0.162, 0.5596313
0.0060517, -0.0169528, 0.0073125, -0.0594186, 0.1755, 0.47052, 0.1755, -0.2619019, 0.1755, -0.6299438, 0.1755, 0.5596313
0.0065172, -0.0159457, 0.007875, -0.0782177, 0.189, 0.47052, 0.189, -0.2619629, 0.189, -0.6299438, 0.189, 0.5596313
0.0069828, -0.0135958, 0.0084375, -0.1037308, 0.2025, 0.47052, 0.2025, -0.262085, 0.2025, -0.6298828, 0.2025, 0.5595703
0.0074483, -0.0119173, 0.009, -0.1131304, 0.216, 0.4705811, 0.216, -0.262207, 0.216, -0.6298218, 0.216, 0.5595703
0.0079138, -0.0142672, 0.0095625, -0.1047379, 0.2295, 0.4706421, 0.2295, -0.2622681, 0.2295, -0.6297607, 0.2295, 0.5595703
0.0083793, -0.0152743, 0.010125, -0.0822461, 0.243, 0.4707642, 0.243, -0.2623901, 0.243, -0.6296997, 0.243, 0.5594482
0.0088448, -0.0152743, 0.0106875, -0.0570687, 0.2565, 0.4708862, 0.2565, -0.2624512, 0.2565, -0.6296387, 0.2565, 0.5594482
0.0093103, -0.014435, 0.01125, -0.0379339, 0.27, 0.4709473, 0.27, -0.2625122, 0.27, -0.6295776, 0.27, 0.5593872
0.0097759, -0.0139315, 0.0118125, -0.0285344, 0.2835, 0.4710693, 0.2835, -0.2625732, 0.2835, -0.6295166, 0.2835, 0.5593262
0.0102414, -0.0139315, 0.012375, -0.0265202, 0.297, 0.4710693, 0.297, -0.2626343, 0.297, -0.6295166, 0.297, 0.5593262
