Application:, Trigno Discover (1.7.0)
Date/Time:, 11/4/2024 10:23:56 AM
Collection Length (seconds):, 12.1365
Avanti Sensor 0 (64624), , Avanti Sensor 2 (64680)
sensor mode: 40, , sensor mode: 609
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 2148.1481 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz
0, -0.0120851, 0, 0.4677734, 0, -0.7407227, 0, 0.4990234, 0, -10.4878054, 0, 7.8048782, 0, -16.4634151
0.0004655, -0.0129244, 0.0027, 0.4682617, 0.0027, -0.7333984, 0.0027, 0.4985352, 0.0027, -10.6707315, 0.0027, 8.9024391, 0.0027, -16.4634151
0.000931, -0.0149386, 0.0054, 0.4692383, 0.0054, -0.7294922, 0.0054, 0.4990234, 0.0054, -10.6097565, 0.0054, 10.2439022, 0.0054, -16.2195129
0.0013966, -0.0159457, 0.0081, 0.4677734, 0.0081, -0.7250977, 0.0081, 0.5014648, 0.0081, -10.4268293, 0.0081, 11.1585369, 0.0081, -16.0975609
0.0018621, -0.0146029, 0.0108, 0.4731445, 0.0108, -0.7202148, 0.0108, 0.5019531, 0.0108, -9.8780489, 0.0108, 11.7073174, 0.0108, -16.0365849
0.0023276, -0.011078, 0.0135, 0.472168, 0.0135, -0.7172852, 0.0135, 0.4980469, 0.0135, -9.9390249, 0.0135, 11.7682934, 0.0135, -16.2195129
0.0027931, -0.008896, 0.0162, 0.465332, 0.0162, -0.7143555, 0.0162, 0.4951172, 0.0162, -9.3292685, 0.0162, 11.6463413, 0.0162, -16.7073174
0.0032586, -0.008896, 0.0189, 0.4536133, 0.0189, -0.7050781, 0.0189, 0.4941406, 0.0189, -9.2682924, 0.0189, 11.6463413, 0.0189, -16.5243912
0.0037241, -0.0090639, 0.0216, 0.4550781, 0.0216, -0.6972656, 0.0216, 0.4960938, 0.0216, -8.9634151, 0.0216, 11.1585369, 0.0216, -16.2195129
0.0041897, -0.0090639, 0.0243, 0.4521484, 0.0243, -0.6860352, 0.0243, 0.4912109, 0.0243, -8.4146347, 0.0243, 10.4268293, 0.0243, -16.4024391
0.0046552, -0.0092317, 0.027, 0.4545898, 0.027, -0.6772461, 0.027, 0.4921875, 0.027, -8.1707315, 0.027, 10.5487804, 0.027, -16.3414631
0.0051207, -0.0090639, 0.0297, 0.4692383, 0.0297, -0.6645508, 0.0297, 0.4868164, 0.0297, -7.8658538, 0.0297, 10.5487804, 0.0297, -16.3414631
0.0055862, -0.0095674, 0.0324, 0.4726562, 0.0324, -0.6572266, 0.0324, 0.4873047, 0.0324, -7.3170733, 0.0324, 10.9146347, 0.0324, -16.4634151
0.0060517, -0.0104067, 0.0351, 0.4814453, 0.0351, -0.6455078, 0.0351, 0.4951172, 0.0351, -6.890244, 0.0351, 11.0365858, 0.0351, -17.3170738
0.0065172, -0.0102388, 0.0378, 0.480957, 0.0378, -0.6455078, 0.0378, 0.4995117, 0.0378, -6.3414636, 0.0378, 10.7926836, 0.0378, -17.5
0.0069828, -0.0082246, 0.0405, 0.4780273, 0.0405, -0.6386719, 0.0405, 0.5039062, 0.0405, -5.2439027, 0.0405, 10.8536587, 0.0405, -17.3780499
0.0074483, -0.0065461, 0.0432, 0.4716797, 0.0432, -0.6254883, 0.0432, 0.503418, 0.0432, -5.3658538, 0.0432, 11.1585369, 0.0432, -17.560976
0.0079138, -0.0077211, 0.0459, 0.465332, 0.0459, -0.6201172, 0.0459, 0.5029297, 0.0459, -5.1219511, 0.0459, 11.7073174, 0.0459, -17.1341476
0.0083793, -0.0099031, 0.0486, 0.4624023, 0.0486, -0.6123047, 0.0486, 0.4970703, 0.0486, -4.8780489, 0.0486, 12.3780489, 0.0486, -16.9512196
0.0088448, -0.0109102, 0.0513, 0.4550781, 0.0513, -0.6083984, 0.0513, 0.4887695, 0.0513, -4.5731707, 0.0513, 13.2926836, 0.0513, -17.2560978
