Application:, Trigno Discover (1.7.0)
Date/Time:, 11/4/2024 11:09:45 AM
Collection Length (seconds):, 32.0895
Avanti Sensor 0 (64624), , Avanti Sensor 2 (64680)
sensor mode: 40, , sensor mode: 66
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 2148.1481 Hz, , 1777.7778 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
0, -0.0095674, 0, -0.0332341, 0, 0.2739868, 0, 0.0383911, 0, -0.6505737, 0, 0.7072144
0.0004655, -0.010071, 0.0005625, -0.0318914, 0.0135, 0.2739868, 0.0135, 0.038269, 0.0135, -0.6506348, 0.0135, 0.7072144
0.000931, -0.0104067, 0.001125, -0.0305486, 0.027, 0.2738647, 0.027, 0.0385742, 0.027, -0.6508179, 0.027, 0.7070312
0.0013966, -0.0115816, 0.0016875, -0.0318914, 0.0405, 0.2739258, 0.0405, 0.0385742, 0.0405, -0.6508789, 0.0405, 0.7069702
0.0018621, -0.0125887, 0.00225, -0.0315557, 0.054, 0.2741699, 0.054, 0.0385742, 0.054, -0.6508789, 0.054, 0.7069092
0.0023276, -0.012253, 0.0028125, -0.0318914, 0.0675, 0.2748413, 0.0675, 0.0379639, 0.0675, -0.6507568, 0.0675, 0.7067871
0.0027931, -0.0120851, 0.003375, -0.0328985, 0.081, 0.2752075, 0.081, 0.0376587, 0.081, -0.6506348, 0.081, 0.7067261
0.0032586, -0.0125887, 0.0039375, -0.0325628, 0.0945, 0.2758179, 0.0945, 0.0369873, 0.0945, -0.6505127, 0.0945, 0.706665
0.0037241, -0.0129244, 0.0045, -0.0305486, 0.108, 0.2758789, 0.108, 0.0368652, 0.108, -0.6505127, 0.108, 0.706665
